path,true,clean,adv,lowpass
victim_models/dataset/ModelNet10/bathtub/test/bathtub_0108.off | true: 0 | threshold: 44 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0514.off | true: 5 | threshold: 176 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0516.off | true: 5 | threshold: 19 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0520.off | true: 5 | threshold: 71 | clean: 5 | adv: 3
victim_models/dataset/ModelNet10/monitor/test/monitor_0524.off | true: 5 | threshold: 171 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0526.off | true: 5 | threshold: 14 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0530.off | true: 5 | threshold: 41 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0532.off | true: 5 | threshold: 44 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0534.off | true: 5 | threshold: 172 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0536.off | true: 5 | threshold: 117 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0541.off | true: 5 | threshold: 120 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0544.off | true: 5 | threshold: 91 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0546.off | true: 5 | threshold: 21 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0548.off | true: 5 | threshold: 67 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0553.off | true: 5 | threshold: 41 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0555.off | true: 5 | threshold: 35 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0558.off | true: 5 | threshold: 255 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0561.off | true: 5 | threshold: 243 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/monitor/test/monitor_0563.off | true: 5 | threshold: 91 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/monitor/test/monitor_0565.off | true: 5 | threshold: 113 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0207.off | true: 6 | threshold: 46 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0210.off | true: 6 | threshold: 96 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0215.off | true: 6 | threshold: 60 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0217.off | true: 6 | threshold: 196 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0220.off | true: 6 | threshold: 150 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0222.off | true: 6 | threshold: 142 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0224.off | true: 6 | threshold: 22 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0228.off | true: 6 | threshold: 30 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0231.off | true: 6 | threshold: 70 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0233.off | true: 6 | threshold: 114 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0235.off | true: 6 | threshold: 208 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0238.off | true: 6 | threshold: 182 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0241.off | true: 6 | threshold: 21 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0243.off | true: 6 | threshold: 36 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0247.off | true: 6 | threshold: 82 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0251.off | true: 6 | threshold: 80 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0255.off | true: 6 | threshold: 22 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0258.off | true: 6 | threshold: 230 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0261.off | true: 6 | threshold: 217 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0264.off | true: 6 | threshold: 116 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0268.off | true: 6 | threshold: 193 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0272.off | true: 6 | threshold: 191 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0275.off | true: 6 | threshold: 87 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0282.off | true: 6 | threshold: 85 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/night_stand/test/night_stand_0284.off | true: 6 | threshold: 236 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0683.off | true: 7 | threshold: 117 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/sofa/test/sofa_0687.off | true: 7 | threshold: 35 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0690.off | true: 7 | threshold: 150 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/sofa/test/sofa_0693.off | true: 7 | threshold: 117 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0699.off | true: 7 | threshold: 18 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0704.off | true: 7 | threshold: 72 | clean: 7 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0710.off | true: 7 | threshold: 150 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0720.off | true: 7 | threshold: 31 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/sofa/test/sofa_0737.off | true: 7 | threshold: 14 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0740.off | true: 7 | threshold: 150 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0742.off | true: 7 | threshold: 102 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/sofa/test/sofa_0755.off | true: 7 | threshold: 127 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0757.off | true: 7 | threshold: 156 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0761.off | true: 7 | threshold: 75 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/sofa/test/sofa_0763.off | true: 7 | threshold: 34 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0769.off | true: 7 | threshold: 59 | clean: 3 | adv: 3
victim_models/dataset/ModelNet10/sofa/test/sofa_0773.off | true: 7 | threshold: 38 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/sofa/test/sofa_0779.off | true: 7 | threshold: 154 | clean: 7 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0395.off | true: 8 | threshold: 36 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0398.off | true: 8 | threshold: 37 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0403.off | true: 8 | threshold: 56 | clean: 8 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0405.off | true: 8 | threshold: 197 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0409.off | true: 8 | threshold: 173 | clean: 8 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0411.off | true: 8 | threshold: 194 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0414.off | true: 8 | threshold: 24 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0416.off | true: 8 | threshold: 30 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0419.off | true: 8 | threshold: 54 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0422.off | true: 8 | threshold: 171 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0425.off | true: 8 | threshold: 34 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0428.off | true: 8 | threshold: 63 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0430.off | true: 8 | threshold: 88 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0434.off | true: 8 | threshold: 54 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0436.off | true: 8 | threshold: 74 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0438.off | true: 8 | threshold: 100 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/table/test/table_0440.off | true: 8 | threshold: 66 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/table/test/table_0443.off | true: 8 | threshold: 72 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0446.off | true: 8 | threshold: 102 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0450.off | true: 8 | threshold: 139 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0454.off | true: 8 | threshold: 19 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0456.off | true: 8 | threshold: 89 | clean: 8 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0460.off | true: 8 | threshold: 186 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0463.off | true: 8 | threshold: 19 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0466.off | true: 8 | threshold: 21 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0471.off | true: 8 | threshold: 46 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0474.off | true: 8 | threshold: 70 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0476.off | true: 8 | threshold: 23 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0479.off | true: 8 | threshold: 89 | clean: 8 | adv: 2
victim_models/dataset/ModelNet10/table/test/table_0481.off | true: 8 | threshold: 48 | clean: 8 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0484.off | true: 8 | threshold: 141 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0487.off | true: 8 | threshold: 80 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0489.off | true: 8 | threshold: 15 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/table/test/table_0491.off | true: 8 | threshold: 22 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/toilet/test/toilet_0348.off | true: 9 | threshold: 101 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/toilet/test/toilet_0354.off | true: 9 | threshold: 59 | clean: 8 | adv: 8
victim_models/dataset/ModelNet10/toilet/test/toilet_0362.off | true: 9 | threshold: 203 | clean: 9 | adv: 3
victim_models/dataset/ModelNet10/toilet/test/toilet_0380.off | true: 9 | threshold: 180 | clean: 1 | adv: 2
victim_models/dataset/ModelNet10/toilet/test/toilet_0390.off | true: 9 | threshold: 84 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/toilet/test/toilet_0402.off | true: 9 | threshold: 117 | clean: 5 | adv: 5
victim_models/dataset/ModelNet10/toilet/test/toilet_0410.off | true: 9 | threshold: 232 | clean: 1 | adv: 1
victim_models/dataset/ModelNet10/toilet/test/toilet_0430.off | true: 9 | threshold: 102 | clean: 2 | adv: 2
victim_models/dataset/ModelNet10/toilet/test/toilet_0437.off | true: 9 | threshold: 62 | clean: 2 | adv: 2
